"genero","idade","curso","periodo","satisfacao","abandono","animacao","descrente potencial","descrente estudos","possui dificuldade"
"Feminino","de 16 a 20","Ciência da Computação","5","Concordo parcialmente","Concordo parcialmente","Indiferente","Concordo completamente","Concordo parcialmente","Indiferente"
"Masculino","de 16 a 20","Ciência da Computação","5","Indiferente","Concordo completamente","Discordo completamente","Discordo completamente","Concordo parcialmente","Concordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","5","Concordo parcialmente","Discordo completamente","Indiferente",,"Discordo parcialmente","Indiferente"
"Masculino","de 21 a 25","Ciência da Computação","4","Concordo parcialmente","Indiferente","Indiferente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Feminino","de 16 a 20","Ciência da Computação","1","Discordo parcialmente","Concordo parcialmente","Indiferente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Medicina","5","Concordo parcialmente","Discordo completamente","Concordo completamente","Discordo parcialmente","Discordo parcialmente","Discordo completamente"
"Feminino","de 21 a 25","Medicina","8","Discordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Discordo completamente","Concordo completamente"
"Masculino","de 21 a 25","Medicina","9","Discordo parcialmente","Discordo completamente","Discordo parcialmente","Discordo completamente","Discordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","8","Concordo completamente","Discordo parcialmente","Concordo parcialmente","Prefiro não informar","Discordo completamente","Concordo parcialmente"
"Masculino","de 21 a 25","Medicina","8","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Discordo parcialmente","Discordo parcialmente"
"Masculino","de 31 a 35","Medicina","4","Discordo completamente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente"
"Masculino","de 21 a 25","Medicina","9","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo completamente"
"Feminino","de 16 a 20","Medicina","5","Concordo parcialmente","Discordo completamente","Concordo completamente","Concordo completamente","Discordo parcialmente","Discordo parcialmente"
"Feminino","de 21 a 25","Medicina","6","Concordo completamente","Discordo parcialmente","Concordo completamente","Concordo completamente","Discordo completamente","Discordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","8","Concordo parcialmente","Discordo completamente","Indiferente","Discordo parcialmente","Discordo parcialmente","Indiferente"
"Masculino","de 21 a 25","Medicina","9","Discordo parcialmente","Discordo parcialmente","Concordo completamente","Concordo parcialmente","Discordo completamente","Indiferente"
"Feminino","de 21 a 25","Design","7","Discordo parcialmente","Indiferente","Concordo parcialmente","Concordo parcialmente",,"Concordo parcialmente"
"Masculino","de 21 a 25","Design","7","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Feminino","de 21 a 25","Design","2","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo completamente","Indiferente","Concordo completamente"
"Masculino","de 21 a 25","Design","3","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Feminino","de 16 a 20","Design","1","Concordo completamente","Discordo completamente","Concordo completamente","Discordo parcialmente","Discordo completamente","Discordo completamente"
"Feminino","de 26 a 30","Design","6","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Indiferente","Concordo parcialmente"
"Masculino","de 21 a 25","Design","4","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Concordo parcialmente","Concordo parcialmente"
"Prefiro não informar","de 21 a 25","Design","5","Indiferente","Concordo parcialmente","Discordo parcialmente","Concordo completamente","Concordo completamente","Concordo completamente"
"Feminino","de 21 a 25","Design","5","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente","Concordo parcialmente","Concordo completamente"
"Masculino","de 21 a 25","Design","3","Concordo completamente","Discordo completamente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"nb","de 21 a 25","Design","5","Concordo parcialmente","Concordo completamente","Discordo completamente","Discordo parcialmente","Concordo completamente","Concordo parcialmente"
